,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.743266655,,,,,,,,,,11.743266655,,,,,,,,,,11.743266655,,,,,,,,,
CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505208634,,,,,,,,,,0.505208634,,,,,,,,,,0.505208634,,,,,,,,,
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.165879632,,,,,,,,,,1.165879632,,,,,,,,,,1.165879632,,,,,,,,,
CXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584928396,,,,,,,,,,0.584928396,,,,,,,,,,0.584928396,,,,,,,,,
COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805796199,,,,,,,,,,0.805796199,,,,,,,,,,0.805796199,,,,,,,,,
COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012044516,,,,,,,,,,0.012044516,,,,,,,,,,0.012044516,,,,,,,,,
COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021736792,,,,,,,,,,0.021736792,,,,,,,,,,0.021736792,,,,,,,,,
COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585764913,,,,,,,,,,0.585764913,,,,,,,,,,0.585764913,,,,,,,,,
CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160747994,,,,,,,,,,0.160747994,,,,,,,,,,0.160747994,,,,,,,,,
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.006021864,,,,,,,,,,1.006021864,,,,,,,,,,1.006021864,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.486184035,,,,,,,,,,8.486184035,,,,,,,,,,8.486184035,,,,,,,,,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.672016061,,,,,,,,,,1.672016061,,,,,,,,,,1.672016061,,,,,,,,,
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.450476913,,,,,,,,,,14.450476913,,,,,,,,,,14.450476913,,,,,,,,,
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71924231,,,,,,,,,,0.71924231,,,,,,,,,,0.71924231,,,,,,,,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838645036,,,,,,,,,,0.838645036,,,,,,,,,,0.838645036,,,,,,,,,
